IGOR
WAVES	Frequency	Phase	Amp
BEGIN
	352543.38	179.25833	0.00073671341
	352740.19	182.88095	0.00073432922
	352937.03	181.80682	0.0007557869
	353133.88	181.50047	0.00077366829
	353330.72	183.21446	0.00076532364
	353527.56	182.55066	0.00077605247
	353724.41	181.55986	0.0007879734
	353921.25	182.83812	0.00084161758
	354118.09	183.60699	0.00083327293
	354314.94	183.00034	0.00086426735
	354511.78	184.39268	0.00087141991
	354708.59	185.32509	0.00089883804
	354905.44	186.07703	0.00094532967
	355102.28	186.06938	0.00094652176
	355299.12	186.59766	0.00099539757
	355495.97	186.19492	0.0010383129
	355692.81	187.701	0.0011026859
	355889.66	188.46729	0.001116991
	356086.5	190.75238	0.0012004375
	356283.34	191.33104	0.0012671947
	356480.16	193.4762	0.001360178
	356677	195.42691	0.0014293194
	356873.84	197.88269	0.0015628338
	357070.69	199.88754	0.0017094612
	357267.53	204.90358	0.0018930435
	357464.38	210.50674	0.0021016598
	357661.22	217.03323	0.0023412704
	357858.06	227.25659	0.0026106834
	358054.91	239.47719	0.0028419495
	358251.75	256.41943	0.0029444695
	358448.56	-87.055534	0.002784729
	358645.41	-70.716637	0.0024175644
	358842.25	-58.293285	0.001938343
	359039.09	-50.226662	0.0016283989
	359235.94	-44.63921	0.0013375282
	359432.78	-40.288002	0.0010871887
	359629.62	-39.027557	0.00089883804
	359826.47	-35.942116	0.00076532364
	360023.31	-34.35326	0.00065684319
	360220.16	-33.075478	0.0005543232
	360416.97	-31.295544	0.00045895576
	360613.81	-34.830887	0.00038146973
	360810.66	-30.242014	0.00033974648
	361007.5	-33.244949	0.00029683113
	361204.34	-33.461502	0.00024795532
	361401.19	-42.962681	0.00021338463
	361598.03	-32.564571	0.0001680851
	361794.88	-39.472462	0.00013113022
	361991.72	-44.333805	0.00014424324
	362188.53	-48.544785	9.5367432e-05
	362385.38	-62.500877	9.7751617e-05
	362582.22	-73.11322	6.9141388e-05
	362779.06	264.50769	6.1988831e-05
	362975.91	261.38434	7.8678131e-05
	363172.75	243.85315	7.2717667e-05
	363369.59	217.87498	4.0531158e-05
	363566.44	225	5.364418e-05
	363763.28	217.30392	9.4175339e-05
	363960.12	208.76764	6.9141388e-05
	364156.94	208.51123	0.00011086464
	364353.78	205.09625	0.00010371208
	364550.62	202.05106	0.0001013279
	364747.47	204.353	0.00012397766
	364944.31	199.41547	0.00015377998
	365141.16	190.86853	0.0001513958
	365338	190.83008	0.00013947487
	365534.84	189.60521	0.00015616417
	365731.69	191.58063	0.00014781952
	365928.5	191.84206	0.0001502037
	366125.34	194.14578	0.0001502037
	366322.19	183.39133	0.00016093254
	366519.03	186.43472	0.00015854836
	366715.88	190.36244	0.00021100044
	366912.72	184.58797	0.00019311905
	367109.56	180.6662	0.00020503998
	367306.41	188.03165	0.00019550323
	367503.25	191.16949	0.00019073486
	367700.09	180.339	0.0002014637
	367896.91	186.05898	0.00021457672
	368093.75	183.45872	0.00021696091
	368290.59	183.40643	0.00020027161
	368487.44	182.68378	0.00022888184
	368684.28	183.12779	0.000218153
	368881.12	182.84819	0.00023961067
	369077.97	187.30576	0.00023365021
	369274.81	181.57654	0.00025987625
	369471.66	184.16466	0.00024557114
